Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,372,2021-05-21,11360342,4.5
US,110,2020-09-01,1609051,34.36
Brazil,229,2020-12-29,963370,12.71
Russia,122,2020-09-13,420280,3.97
Spain,85,2020-08-07,285230,16.29
United Kingdom,103,2020-08-25,265292,8.23
Italy,96,2020-08-18,231620,1.98
India,152,2020-10-13,184811,28.99
France,86,2020-08-08,186950,63.89
Germany,73,2020-07-26,178066,47.67
Peru,123,2020-09-14,162584,9.14
Turkey,83,2020-08-05,156273,21.59
Iran,117,2020-09-08,135197,39.43
Chile,49,2020-07-02,55466,43.34
Mexico,158,2020-10-19,120698,10.27
Canada,103,2020-08-25,89392,26.61
Saudi Arabia,218,2020-12-18,150396,20.57
Pakistan,56,2020-07-09,66437,30.15
Qatar,114,2020-09-05,71479,17.34
Belgium,82,2020-08-04,56191,42.09
Bangladesh,39,2020-06-22,26470,38.85
