Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,123.0,2020-10-18,509291.0,18.67
US,108.0,2020-10-03,122705.0,59.28
Brazil,203.0,2021-01-06,90647.0,4.31
Russia,126.0,2020-10-21,12058.0,5.31
Spain,14.0,2020-07-01,27136.0,99.92
United Kingdom,85.0,2020-09-10,43354.0,33.94
Italy,83.0,2020-09-08,34669.0,43.91
India,,,,
France,62.0,2020-08-18,29633.0,64.94
Germany,61.0,2020-08-17,9068.0,5.13
Peru,54.0,2020-08-10,10035.0,23.8
Turkey,62.0,2020-08-18,4977.0,55.76
Iran,53.0,2020-08-09,10120.0,29.68
Chile,14.0,2020-07-01,3454.0,93.68
Mexico,224.0,2021-01-27,61847.0,4.29
Canada,90.0,2020-09-15,8540.0,42.86
Saudi Arabia,146.0,2020-11-10,3244.0,3.37
Pakistan,85.0,2020-09-10,5835.0,10.24
Qatar,19.0,2020-07-06,97.0,39.13
Belgium,56.0,2020-08-12,9694.0,64.58
Bangladesh,155.0,2020-11-19,4055.0,20.86
