Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-07,10249945,
US,147,2020-11-10,2472617,
Brazil,156,2020-11-19,1416144,
Russia,142,2020-11-05,654355,
Spain,90,2020-09-14,293459,
United Kingdom,183,2020-12-16,343651,
Italy,97,2020-09-21,239903,
India,198,2020-12-31,973541,
France,142,2020-11-05,204151,
Germany,162,2020-11-25,195825,
Peru,167,2020-11-30,356459,
Turkey,135,2020-10-29,207545,
Iran,212,2021-01-14,261827,
Chile,91,2020-09-15,261444,
Mexico,374,2021-06-25,585811,
Canada,62,2020-08-17,102868,
Saudi Arabia,95,2020-09-19,198757,
Pakistan,230,2021-02-01,613364,
Qatar,146,2020-11-09,111783,
Belgium,79,2020-09-03,60718,
Bangladesh,208,2021-01-10,290292,
