Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,165,2020-12-07,12268490,18.24
US,123,2020-10-26,2861983,40.32
Brazil,231,2021-02-11,2883979,16.66
Russia,284,2021-04-05,860804,5.07
Spain,93,2020-09-26,297757,41.14
United Kingdom,258,2021-03-10,314570,93.48
Italy,98,2020-10-01,240939,37.75
India,376,2021-07-06,3118720,2.82
France,190,2021-01-01,210793,53.09
Germany,71,2020-09-04,196655,29.93
Peru,149,2020-11-21,345803,8.99
Turkey,83,2020-09-16,204017,31.7
Iran,371,2021-07-01,417138,3.44
Chile,136,2020-11-08,485254,129.26
Mexico,176,2020-12-18,368346,19.45
Canada,176,2020-12-18,110793,10.94
Saudi Arabia,89,2020-09-22,201383,45.35
Pakistan,86,2020-09-19,239696,4.77
Qatar,148,2020-11-20,112705,6.68
Belgium,78,2020-09-11,62116,10.47
Bangladesh,233,2021-02-13,302763,2.65
