Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,150,2020-11-27,560702.0,39.89
US,113,2020-10-21,133139.0,50.86
Brazil,280,2021-04-06,113509.0,2.17
Russia,167,2020-12-14,13055.0,21.4
Spain,14,2020-07-14,28348.0,93.02
United Kingdom,89,2020-09-27,44070.0,78.25
Italy,84,2020-09-22,34848.0,49.21
India,128,2020-11-05,39495.0,44.4
France,62,2020-08-31,29820.0,95.37
Germany,63,2020-09-01,9056.0,4.65
Peru,121,2020-10-29,14256.0,14.81
Turkey,62,2020-08-31,5246.0,44.62
Iran,46,2020-08-15,11985.0,31.93
Chile,41,2020-08-10,7341.0,52.22
Mexico,174,2020-12-21,57455.0,26.97
Canada,91,2020-09-29,8724.0,56.2
Saudi Arabia,115,2020-10-23,3108.0,16.26
Pakistan,48,2020-08-17,4888.0,38.25
Qatar,15,2020-07-15,117.0,77.27
Belgium,64,2020-09-02,9747.0,96.43
Bangladesh,116,2020-10-24,3431.0,7.54
