Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,132.0,2020-11-28,687498.0,
US,99.0,2020-10-26,152542.0,
Brazil,327.0,2021-06-11,157596.0,
Russia,154.0,2020-12-20,17022.0,
Spain,24.0,2020-08-12,28436.0,
United Kingdom,88.0,2020-10-15,45992.0,
Italy,81.0,2020-10-08,35194.0,
India,87.0,2020-10-14,37041.0,
France,60.0,2020-09-17,30219.0,
Germany,12.0,2020-07-31,9094.0,
Peru,266.0,2021-04-11,25497.0,
Turkey,64.0,2020-09-21,5624.0,
Iran,54.0,2020-09-11,15942.0,
Chile,,,,
Mexico,198.0,2021-02-02,58906.0,
Canada,60.0,2020-09-17,8892.0,
Saudi Arabia,69.0,2020-09-26,3033.0,
Pakistan,69.0,2020-09-26,6290.0,
Qatar,12.0,2020-07-31,158.0,
Belgium,53.0,2020-09-10,9806.0,
Bangladesh,124.0,2020-11-20,3745.0,
